iter	Passed	Remaining
0	852	84412
1	1480	72532
2	2198	71082
3	2872	68932
4	3659	69525
5	4388	68750
6	5105	67834
7	5829	67039
8	6628	67020
9	7317	65855
10	8062	65231
11	8820	64684
12	9530	63780
13	10269	63084
14	11067	62717
15	11917	62566
16	12743	62217
17	13496	61481
18	14204	60556
19	14906	59627
20	15632	58808
21	16327	57887
22	16932	56685
23	17422	55172
24	17891	53675
25	18369	52281
26	18839	50935
27	19309	49652
28	19778	48423
29	20233	47212
30	20692	46057
31	21168	44983
32	21648	43953
33	22117	42934
34	22592	41958
35	23057	40991
36	23536	40074
37	24024	39198
38	24504	38327
39	24971	37457
40	25451	36625
41	25929	35807
42	26400	34996
43	26868	34196
44	27348	33425
45	27808	32644
46	28260	31868
47	28752	31148
48	29224	30417
49	29697	29697
50	30163	28980
51	30629	28273
52	31091	27571
53	31571	26894
54	32060	26231
55	32531	25560
56	33004	24898
57	33496	24256
58	33962	23600
59	34429	22952
60	34914	22322
61	35387	21689
62	35857	21059
63	36329	20435
64	36799	19815
65	37275	19202
66	37758	18597
67	38228	17990
68	38697	17385
69	39156	16781
70	39679	16206
71	40162	15618
72	40639	15030
73	41148	14457
74	41645	13881
75	42122	13301
76	42620	12730
77	43103	12157
78	43607	11591
79	44148	11037
80	44669	10478
81	45194	9920
82	45655	9351
83	46142	8788
84	46605	8224
85	47073	7663
86	47563	7107
87	48040	6550
88	48524	5997
89	48991	5443
90	49461	4891
91	49937	4342
92	50408	3794
93	50877	3247
94	51347	2702
95	51934	2163
96	52471	1622
97	52934	1080
98	53419	539
99	53894	0
